epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,10261.5,1.16016,1.10561,1.30112,0.63215,0.49312,0.5359,0.34915,1.07474,8.13728,1.27623,0.006733,0.006733,0.006733
35,10564.3,1.15373,1.09712,1.30036,0.63768,0.49982,0.53397,0.34957,1.07416,8.12502,1.27409,0.006634,0.006634,0.006634
36,10868,1.15608,1.08888,1.29648,0.6619,0.47712,0.53242,0.34995,1.07145,8.08011,1.2716,0.006535,0.006535,0.006535
37,11175.3,1.14924,1.08918,1.29699,0.66455,0.47049,0.53258,0.3499,1.06779,8.23778,1.2707,0.006436,0.006436,0.006436
38,11478,1.14634,1.07686,1.29111,0.66372,0.47682,0.53281,0.35057,1.0683,8.2515,1.27082,0.006337,0.006337,0.006337
39,11781.1,1.14235,1.05899,1.28798,0.64282,0.49351,0.53338,0.35094,1.06666,8.26697,1.26945,0.006238,0.006238,0.006238
40,12086.1,1.14257,1.0644,1.29508,0.63023,0.50326,0.53567,0.35146,1.06464,8.18752,1.26812,0.006139,0.006139,0.006139
41,12389.9,1.13925,1.07335,1.28914,0.64607,0.49415,0.53599,0.35258,1.06387,8.2397,1.26693,0.00604,0.00604,0.00604
42,12694.1,1.14223,1.05759,1.27988,0.63521,0.50532,0.53995,0.35438,1.0628,8.31901,1.26583,0.005941,0.005941,0.005941
43,12998.4,1.12042,1.03421,1.27714,0.64972,0.49566,0.54129,0.35582,1.06203,8.35126,1.26524,0.005842,0.005842,0.005842
44,13304.9,1.14127,1.04992,1.29229,0.6561,0.49485,0.54279,0.35722,1.06028,8.37111,1.26419,0.005743,0.005743,0.005743
45,13607.7,1.1269,1.03722,1.27626,0.67809,0.48412,0.54426,0.35858,1.05876,8.43616,1.263,0.005644,0.005644,0.005644
46,13904,1.13051,1.02644,1.27576,0.68671,0.48094,0.54556,0.35901,1.05741,8.41224,1.2621,0.005545,0.005545,0.005545
47,14199,1.11667,1.01802,1.26909,0.68237,0.48929,0.54699,0.36056,1.05672,8.40912,1.26117,0.005446,0.005446,0.005446
48,14492.9,1.11561,1.01967,1.27446,0.68488,0.48616,0.54781,0.36147,1.05614,8.41952,1.26015,0.005347,0.005347,0.005347
49,14788.6,1.11632,1.00962,1.26901,0.67573,0.49451,0.54869,0.36184,1.05498,8.45525,1.25882,0.005248,0.005248,0.005248
50,15083.3,1.10615,0.99597,1.26751,0.67261,0.49588,0.55047,0.36305,1.05476,8.47902,1.25866,0.005149,0.005149,0.005149
51,15376.9,1.11107,0.99917,1.26156,0.67269,0.50004,0.55091,0.36398,1.05398,8.46789,1.25777,0.00505,0.00505,0.00505
